drug_id,display_name,aliases,smiles,inchikey,inchikey_block
istradefylline,istradefylline,istradefylline,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,IQVRBWUUXZMOPW-PKNBQFBNSA-N,IQVRBWUUXZMOPW
itraconazole,itraconazole,itraconazole,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,VHVPQPYKVGDNFY-ZPGVKDDISA-N,VHVPQPYKVGDNFY
ivabradine,ivabradine,ivabradine,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,ACRHBAYQBXXRTO-OAQYLSRUSA-N,ACRHBAYQBXXRTO
ivacaftor,ivacaftor,ivacaftor,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,PURKAOJPTOLRMP-UHFFFAOYSA-N,PURKAOJPTOLRMP
ivosidenib,ivosidenib,ivosidenib,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,WIJZXSAJMHAVGX-DHLKQENFSA-N,WIJZXSAJMHAVGX
ketoconazole,ketoconazole,ketoconazole|nizoral,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,XMAYWYJOQHXEEK
labetalol,labetalol,labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,SGUAFYQXFOLMHL
lansoprazole,lansoprazole,lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-UHFFFAOYSA-N,MJIHNNLFOKEZEW
lapatinib,lapatinib,lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU
larotrectinib,larotrectinib,larotrectinib,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1,NYNZQNWKBKUAII-KBXCAEBGSA-N,NYNZQNWKBKUAII
